epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,49735.6,0.86916,0.89455,0.68206,1.00279,0.84621,0.85135,0.86471,0.43776,0.90133,0.90541,0.90307,0.65713,1.47227,3.59721,0.83939,1.57422,0.0085645,0.0085645,0.0085645
31,50014.5,0.85203,0.82481,0.66286,1.00352,0.86388,0.85762,0.87685,0.51034,0.904,0.91892,0.89871,0.69166,1.25377,3.24857,0.7731,1.36096,0.008515,0.008515,0.008515
32,50274.3,0.86124,0.83134,0.6675,1.01543,0.85174,0.86486,0.87926,0.49451,0.90567,0.91892,0.90225,0.6587,1.30743,3.47844,0.79923,1.37589,0.0084655,0.0084655,0.0084655
33,50528.1,0.87579,0.84772,0.65517,1.00901,0.87267,0.83784,0.85157,0.48615,0.92897,0.89189,0.90058,0.66862,1.30894,2.54329,0.78696,1.37474,0.008416,0.008416,0.008416
34,50776.7,0.84798,0.83111,0.64155,1.0077,0.88782,0.87838,0.86194,0.51145,0.9288,0.91892,0.88939,0.65194,1.24977,2.74806,0.75521,1.36934,0.0083665,0.0083665,0.0083665
35,51017.7,0.85991,0.88508,0.65256,1.00338,0.87354,0.86486,0.87292,0.51689,0.92918,0.91892,0.8896,0.67611,1.25082,3.5107,0.75228,1.3449,0.008317,0.008317,0.008317
36,51256.8,0.8388,0.81617,0.63134,0.99326,0.89165,0.82432,0.88056,0.4875,0.88213,0.91022,0.90163,0.68197,1.35337,3.93167,0.79169,1.47912,0.0082675,0.0082675,0.0082675
37,51498.1,0.83018,0.77563,0.62051,0.99911,0.90228,0.7973,0.87221,0.51401,0.96345,0.85135,0.90417,0.67649,1.24522,4.04799,0.7815,1.35308,0.008218,0.008218,0.008218
38,51758.2,0.81294,0.80389,0.62455,0.9833,0.87114,0.86486,0.86089,0.48851,0.92989,0.91892,0.8993,0.65386,1.226,3.86745,0.72914,1.37908,0.0081685,0.0081685,0.0081685
39,51996.6,0.82029,0.82653,0.61698,0.98616,0.88781,0.87838,0.88274,0.54958,0.92878,0.91892,0.88426,0.66274,1.18596,3.51098,0.70929,1.37594,0.008119,0.008119,0.008119
40,52232,0.82345,0.83364,0.61674,0.98434,0.89999,0.87838,0.88054,0.53872,0.94153,0.91892,0.90733,0.6985,1.19655,3.20317,0.70547,1.34686,0.0080695,0.0080695,0.0080695
41,52467.8,0.81996,0.77981,0.60551,0.97785,0.87588,0.86486,0.87569,0.48934,0.93087,0.91892,0.89773,0.67447,1.36203,3.40966,0.81705,1.48341,0.00802,0.00802,0.00802
42,52726.5,0.81729,0.79361,0.59741,0.97648,0.87048,0.85135,0.86681,0.48011,0.92614,0.90541,0.90975,0.69161,1.41297,3.44741,0.79191,1.48628,0.0079705,0.0079705,0.0079705
43,53030.8,0.80729,0.78792,0.58376,0.98052,0.8759,0.87838,0.8774,0.48689,0.91633,0.91892,0.9059,0.68092,1.40061,4.45422,0.75095,1.4448,0.007921,0.007921,0.007921
44,53290.4,0.81868,0.7676,0.59748,0.98422,0.88316,0.86486,0.85742,0.47854,0.94316,0.90541,0.88583,0.67143,1.42698,3.82565,0.74365,1.46377,0.0078715,0.0078715,0.0078715
45,53541.7,0.7892,0.76706,0.59233,0.98404,0.84984,0.84131,0.83179,0.43159,0.91801,0.90779,0.87808,0.63826,1.54393,4.22102,0.83474,1.60185,0.007822,0.007822,0.007822
