epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,363.266,1.03276,1.26631,1.33336,0.98907,0.45629,0.57114,0.51944,0.34889,0.45021,0.56338,0.50626,0.27968,1.07473,1.24119,1.66336,1.03491,0.00901,0.00901,0.00901
32,374.022,1.05126,1.30893,1.33543,0.99769,0.41516,0.56915,0.49352,0.34066,0.45701,0.51829,0.48894,0.28664,0.98396,1.18157,1.82965,1.00444,0.008977,0.008977,0.008977
33,384.746,1.04385,1.30394,1.3131,0.99245,0.44802,0.53306,0.48306,0.34296,0.45384,0.52985,0.48137,0.27306,0.96722,1.21822,1.88769,0.99778,0.008944,0.008944,0.008944
34,395.544,1.04324,1.29345,1.32953,0.99583,0.47725,0.41485,0.45117,0.32175,0.47827,0.41494,0.4498,0.2709,0.95991,1.13153,1.57172,0.98948,0.008911,0.008911,0.008911
35,406.294,1.02815,1.24797,1.29877,0.97861,0.47415,0.57878,0.53313,0.37912,0.46961,0.5726,0.52374,0.31075,0.93569,1.19691,1.41841,0.98385,0.008878,0.008878,0.008878
36,417.677,1.00938,1.24841,1.29534,0.98064,0.43838,0.56203,0.47648,0.33245,0.47613,0.53156,0.47196,0.27185,0.94606,1.14567,1.84554,0.98665,0.008845,0.008845,0.008845
37,428.404,1.01847,1.26396,1.29682,0.98103,0.37723,0.55284,0.4702,0.33241,0.37772,0.54383,0.46133,0.26404,0.97142,1.21522,1.84577,1.00079,0.008812,0.008812,0.008812
38,439.385,1.01444,1.27023,1.31212,0.98599,0.48445,0.58864,0.55102,0.39987,0.4823,0.58576,0.54589,0.30033,0.9366,1.24907,1.43239,0.98581,0.008779,0.008779,0.008779
39,450.51,1.01689,1.25337,1.29062,0.98193,0.5666,0.55694,0.54683,0.39528,0.56578,0.55684,0.54501,0.31431,0.95818,1.15263,1.40262,0.9966,0.008746,0.008746,0.008746
40,461.684,1.02213,1.26416,1.27458,0.98348,0.5214,0.55814,0.53441,0.39118,0.51147,0.54309,0.51782,0.30208,0.93542,1.13078,1.39792,0.9919,0.008713,0.008713,0.008713
41,472.469,1.01718,1.26223,1.26915,0.98044,0.5321,0.60157,0.56084,0.40797,0.52978,0.58552,0.5389,0.31749,0.90232,1.12659,1.62508,0.97212,0.00868,0.00868,0.00868
42,485.14,1.00533,1.26898,1.27051,0.97525,0.49334,0.61453,0.56771,0.408,0.48803,0.60759,0.56101,0.32905,0.93378,1.11225,1.42439,0.98073,0.008647,0.008647,0.008647
43,496.929,0.99994,1.25131,1.26311,0.97528,0.49546,0.5988,0.57634,0.41437,0.49455,0.59569,0.57112,0.3342,0.92577,1.15678,1.36444,0.98137,0.008614,0.008614,0.008614
44,508.631,1.00336,1.22991,1.2579,0.96789,0.45702,0.59921,0.49416,0.35251,0.45133,0.59193,0.48381,0.27937,0.93901,1.11828,1.96576,0.98868,0.008581,0.008581,0.008581
45,519.627,0.99184,1.22832,1.24961,0.97303,0.54303,0.61054,0.5596,0.4024,0.54525,0.61222,0.55744,0.31912,0.91581,1.1139,1.52345,0.97991,0.008548,0.008548,0.008548
46,530.38,0.97289,1.19314,1.23012,0.96482,0.49462,0.56648,0.55278,0.40279,0.50446,0.55537,0.54732,0.326,0.94949,1.0846,1.38737,0.9798,0.008515,0.008515,0.008515
47,541.112,1.00072,1.22822,1.22642,0.97198,0.42532,0.57743,0.53021,0.38813,0.4209,0.57039,0.5238,0.31131,0.91593,1.10067,1.58798,0.97351,0.008482,0.008482,0.008482
48,551.727,0.98655,1.21759,1.23409,0.96569,0.50727,0.56345,0.54128,0.39444,0.4996,0.55505,0.52765,0.31405,0.93487,1.10701,1.38332,0.98112,0.008449,0.008449,0.008449
49,562.357,0.99487,1.25569,1.24142,0.9737,0.51211,0.59759,0.57607,0.42025,0.51016,0.59564,0.57151,0.34177,0.91488,1.12647,1.32868,0.97736,0.008416,0.008416,0.008416
50,573.467,0.97782,1.20211,1.20914,0.96435,0.54653,0.59316,0.58624,0.44195,0.54121,0.58684,0.58002,0.36067,0.88201,1.04052,1.35111,0.9584,0.008383,0.008383,0.008383
51,584.527,0.96951,1.21077,1.21322,0.9585,0.52723,0.59908,0.56334,0.41131,0.52944,0.58767,0.55586,0.32127,0.90914,1.09664,1.51134,0.96448,0.00835,0.00835,0.00835
52,595.593,0.98246,1.19524,1.20223,0.96071,0.56276,0.63016,0.60809,0.45392,0.56106,0.6245,0.60443,0.36604,0.87644,1.0671,1.30276,0.95716,0.008317,0.008317,0.008317
53,608.238,0.96242,1.18507,1.19422,0.96106,0.54813,0.55517,0.55215,0.40307,0.54875,0.54034,0.53435,0.31057,0.89778,1.14035,1.37936,0.96711,0.008284,0.008284,0.008284
54,619.162,0.98029,1.2096,1.19568,0.96001,0.55275,0.59449,0.58503,0.41555,0.56583,0.58305,0.59085,0.3395,0.93536,1.08386,1.28569,0.97082,0.008251,0.008251,0.008251
55,629.932,0.95607,1.15871,1.17805,0.95364,0.5321,0.62659,0.59248,0.44159,0.52311,0.62105,0.5842,0.3497,0.89814,1.0845,1.38355,0.9534,0.008218,0.008218,0.008218
56,640.659,0.94131,1.16418,1.15602,0.94927,0.56309,0.61511,0.59665,0.44632,0.55526,0.60652,0.58792,0.36058,0.86214,1.06545,1.29545,0.95061,0.008185,0.008185,0.008185
57,651.371,0.95449,1.19356,1.16255,0.95499,0.60878,0.58481,0.60458,0.44596,0.60937,0.58355,0.59778,0.36504,0.89197,1.07624,1.22291,0.96156,0.008152,0.008152,0.008152
58,662.357,0.96229,1.22408,1.1819,0.96166,0.49386,0.61071,0.54959,0.39939,0.48741,0.59437,0.53609,0.29355,0.91902,1.18044,1.56457,0.9793,0.008119,0.008119,0.008119
