epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,208.725,1.15144,1.42145,1.43661,1.0244,0.45419,0.56985,0.50935,0.32737,0.47516,0.55483,0.50885,0.27243,1.07659,1.29257,1.47851,1.04624,0.00901,0.00901,0.00901
32,214.605,1.16777,1.45159,1.4356,1.03533,0.39385,0.55483,0.47229,0.30614,0.38135,0.54702,0.46862,0.25602,1.05478,1.33331,1.71394,1.02433,0.008977,0.008977,0.008977
33,220.514,1.15773,1.44982,1.43536,1.02574,0.39749,0.52447,0.42509,0.27626,0.39334,0.52067,0.41327,0.22521,1.05058,1.35405,2.23922,1.0357,0.008944,0.008944,0.008944
34,226.335,1.14384,1.43746,1.44227,1.0283,0.40528,0.4965,0.4661,0.30459,0.40096,0.48745,0.45672,0.25454,1.0781,1.30648,1.79787,1.03891,0.008911,0.008911,0.008911
35,233.151,1.13875,1.3953,1.4072,1.0129,0.40578,0.56,0.50637,0.34051,0.40883,0.55334,0.50139,0.27207,1.00868,1.25821,1.47475,1.01501,0.008878,0.008878,0.008878
36,239.157,1.1161,1.38752,1.39819,1.01327,0.47155,0.50569,0.49011,0.31647,0.46759,0.48841,0.48039,0.26527,1.03969,1.30433,1.75727,1.02807,0.008845,0.008845,0.008845
37,245.081,1.13168,1.41036,1.39091,1.01664,0.43842,0.57375,0.51996,0.35524,0.43723,0.568,0.51009,0.28942,1.01715,1.28167,1.48338,1.01684,0.008812,0.008812,0.008812
38,251.053,1.13573,1.41639,1.41165,1.02178,0.47681,0.42417,0.49288,0.32313,0.47245,0.41799,0.48428,0.27208,1.02761,1.31643,1.62202,1.01412,0.008779,0.008779,0.008779
39,256.825,1.12,1.39687,1.39897,1.01676,0.45397,0.55655,0.5197,0.34875,0.49194,0.52994,0.51611,0.28838,1.05131,1.27874,1.59438,1.02258,0.008746,0.008746,0.008746
40,262.707,1.13285,1.40012,1.38573,1.01657,0.52561,0.54222,0.51915,0.34644,0.51829,0.53333,0.50637,0.27881,1.0317,1.24285,1.48552,1.01015,0.008713,0.008713,0.008713
41,268.493,1.13236,1.41069,1.39425,1.01645,0.50273,0.52847,0.51792,0.34216,0.48009,0.51381,0.50099,0.26945,1.0226,1.24711,1.65141,1.01282,0.00868,0.00868,0.00868
42,274.295,1.1214,1.41092,1.39567,1.01249,0.46243,0.57693,0.52025,0.35185,0.43677,0.56209,0.50226,0.28066,1.01813,1.21506,1.55192,1.00293,0.008647,0.008647,0.008647
43,280.193,1.12371,1.39611,1.38551,1.01158,0.46751,0.57759,0.51231,0.35068,0.46525,0.57567,0.50888,0.28294,1.02018,1.292,1.43656,1.00339,0.008614,0.008614,0.008614
44,285.936,1.11812,1.37734,1.38433,1.0015,0.47935,0.44872,0.45714,0.31798,0.44127,0.48176,0.45354,0.26893,1.00852,1.19584,1.51184,1.0059,0.008581,0.008581,0.008581
45,291.669,1.10991,1.37572,1.38307,1.00888,0.47655,0.56919,0.50851,0.33382,0.47492,0.56713,0.50061,0.25705,1.06892,1.43097,1.50235,1.03346,0.008548,0.008548,0.008548
46,297.375,1.09041,1.3452,1.35495,1.00233,0.44144,0.57368,0.50167,0.33897,0.43678,0.56267,0.49122,0.26887,1.02797,1.27066,1.46291,1.01979,0.008515,0.008515,0.008515
47,303.426,1.11815,1.38233,1.35447,1.01249,0.45755,0.57547,0.51332,0.3426,0.45353,0.56911,0.50561,0.28861,0.99954,1.20507,1.55037,1.00064,0.008482,0.008482,0.008482
48,309.183,1.12023,1.38109,1.37645,1.0075,0.50719,0.58341,0.53611,0.37144,0.50696,0.5779,0.52612,0.30529,0.99899,1.20441,1.34523,1.00676,0.008449,0.008449,0.008449
49,315.11,1.11377,1.40647,1.3724,1.01024,0.48757,0.60171,0.52706,0.34885,0.48303,0.59708,0.52277,0.29093,1.01763,1.22798,1.60695,1.00955,0.008416,0.008416,0.008416
50,321.117,1.091,1.35829,1.35134,1.00122,0.50668,0.57193,0.53989,0.37632,0.49657,0.55871,0.52765,0.30438,0.98922,1.21726,1.42247,0.99576,0.008383,0.008383,0.008383
51,327.07,1.09193,1.36788,1.35021,0.99854,0.47335,0.56221,0.50418,0.33181,0.46415,0.55028,0.48986,0.26638,1.05679,1.24115,1.3995,1.02642,0.00835,0.00835,0.00835
52,332.889,1.09522,1.34388,1.33839,0.99516,0.49863,0.60603,0.53838,0.37429,0.49971,0.59132,0.53555,0.30794,0.99893,1.18632,1.71181,0.99872,0.008317,0.008317,0.008317
53,338.775,1.09224,1.34826,1.33883,1.00095,0.52751,0.59986,0.55176,0.38195,0.51741,0.57185,0.53326,0.3073,1.00003,1.20356,1.34807,0.9919,0.008284,0.008284,0.008284
54,344.857,1.10089,1.36133,1.34337,0.99902,0.45515,0.59133,0.53439,0.3609,0.45885,0.59734,0.53845,0.3046,0.9973,1.18559,1.42649,1.00238,0.008251,0.008251,0.008251
55,350.574,1.07106,1.31436,1.3213,0.99313,0.44056,0.63113,0.54789,0.3791,0.43331,0.61092,0.5344,0.29802,0.98375,1.22395,1.39946,1.00784,0.008218,0.008218,0.008218
56,356.374,1.06222,1.31996,1.30288,0.98771,0.47122,0.61156,0.55882,0.39623,0.46948,0.60914,0.5552,0.33206,0.94891,1.16875,1.32924,0.97737,0.008185,0.008185,0.008185
57,362.29,1.07608,1.34916,1.31953,0.9928,0.53502,0.60753,0.5717,0.38606,0.52554,0.59791,0.55561,0.32455,0.98811,1.17017,1.28805,1.01034,0.008152,0.008152,0.008152
58,368.32,1.09521,1.38355,1.34121,1.00336,0.48176,0.56615,0.52204,0.36149,0.49993,0.54562,0.51535,0.2884,0.99782,1.23468,1.52302,1.00042,0.008119,0.008119,0.008119
59,374.035,1.08677,1.34351,1.3213,0.99507,0.4933,0.57842,0.54368,0.37698,0.4872,0.57209,0.53521,0.30923,0.98893,1.14086,1.34732,0.99482,0.008086,0.008086,0.008086
60,379.802,1.07384,1.32949,1.31992,0.99404,0.54175,0.57901,0.56066,0.39317,0.53956,0.5749,0.55589,0.30733,0.97875,1.16334,1.31116,0.98659,0.008053,0.008053,0.008053
61,385.7,1.06769,1.32349,1.28623,0.98483,0.55051,0.60174,0.58281,0.40255,0.54399,0.59678,0.57705,0.33227,0.95138,1.18455,1.29184,0.97298,0.00802,0.00802,0.00802
62,391.567,1.08252,1.32943,1.30626,0.99573,0.47094,0.62768,0.56169,0.3936,0.46232,0.6174,0.55274,0.31493,0.97102,1.16039,1.36394,0.98702,0.007987,0.007987,0.007987
63,397.271,1.06062,1.32466,1.30557,0.98807,0.56758,0.57252,0.5758,0.40206,0.56174,0.56489,0.56635,0.33647,0.9719,1.1556,1.32366,0.99159,0.007954,0.007954,0.007954
64,403.43,1.06551,1.32084,1.28962,0.99085,0.54937,0.57344,0.57437,0.39473,0.54313,0.56838,0.56396,0.33347,0.97756,1.13183,1.32539,0.99456,0.007921,0.007921,0.007921
65,409.164,1.08428,1.34261,1.3208,0.9999,0.52462,0.58337,0.56383,0.38574,0.50837,0.56538,0.54299,0.32314,0.95786,1.11665,1.319,0.9849,0.007888,0.007888,0.007888
66,414.99,1.06277,1.31301,1.28121,0.98757,0.5219,0.57117,0.5569,0.39407,0.51477,0.56682,0.55131,0.32109,0.94558,1.13403,1.42316,0.97967,0.007855,0.007855,0.007855
67,420.849,1.05936,1.31296,1.27753,0.98245,0.53286,0.60759,0.56301,0.40236,0.52546,0.59102,0.55219,0.33548,0.93806,1.09791,1.43666,0.96998,0.007822,0.007822,0.007822
68,426.788,1.06086,1.32744,1.2789,0.98836,0.51204,0.57253,0.54425,0.38527,0.50241,0.56149,0.53415,0.30421,0.93935,1.12948,1.45872,0.97493,0.007789,0.007789,0.007789
69,432.58,1.07923,1.36012,1.31622,0.99179,0.558,0.61188,0.57612,0.40242,0.54578,0.59949,0.56207,0.33066,0.95116,1.13096,1.26446,0.98356,0.007756,0.007756,0.007756
70,438.505,1.07515,1.31905,1.28006,0.98846,0.39938,0.59077,0.49448,0.3467,0.39637,0.58756,0.49041,0.27346,0.99536,1.21795,1.66611,0.99084,0.007723,0.007723,0.007723
71,444.366,1.03724,1.26833,1.26656,0.98209,0.4894,0.56868,0.51592,0.3512,0.48386,0.56335,0.51236,0.29213,0.9668,1.13764,1.61754,0.98337,0.00769,0.00769,0.00769
72,450.206,1.05513,1.33028,1.25906,0.97878,0.52846,0.54962,0.56485,0.39477,0.51471,0.53924,0.55179,0.30414,0.95391,1.26275,1.42116,0.98706,0.007657,0.007657,0.007657
73,455.974,1.05278,1.31482,1.25448,0.98517,0.57124,0.61023,0.61363,0.4401,0.57033,0.60727,0.60809,0.36237,0.93135,1.08033,1.2169,0.96647,0.007624,0.007624,0.007624
74,462.014,1.04232,1.28743,1.26667,0.98317,0.53374,0.58417,0.57594,0.41494,0.53146,0.58264,0.57337,0.34241,0.93485,1.08832,1.38147,0.97086,0.007591,0.007591,0.007591
75,467.946,1.0469,1.2984,1.25667,0.98519,0.54853,0.59399,0.58693,0.41184,0.54382,0.58265,0.57853,0.3456,0.9457,1.09242,1.28821,0.9718,0.007558,0.007558,0.007558
