                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 1.0656,                 1.3409,                 1.3364,                 1.0012,                0.42636,                0.61072,                0.50825,                0.35889,                 0.4275,                0.58289,                0.49474,                0.27853,                0.97763,                 1.1678,                 1.9652,                 1.0094,               0.009208,               0.009208,               0.009208
                     26,                 1.0502,                 1.2611,                 1.2993,                0.98923,                0.44243,                0.57439,                0.50218,                0.35945,                0.44075,                0.54928,                0.48986,                0.26979,                0.96167,                 1.1929,                 1.9474,                 1.0183,               0.009175,               0.009175,               0.009175
                     27,                 1.0232,                 1.2616,                 1.2807,                0.98397,                0.46574,                0.56936,                0.53856,                 0.3935,                0.48321,                0.55048,                0.52917,                0.31423,                0.95635,                 1.1375,                 1.4221,                0.99338,               0.009142,               0.009142,               0.009142
                     28,                 1.0118,                 1.2609,                 1.2857,                0.98368,                0.49429,                0.61342,                0.53109,                0.37443,                0.51343,                0.58779,                0.52607,                0.30779,                0.96506,                 1.0984,                  1.517,                 0.9947,               0.009109,               0.009109,               0.009109
                     29,                 1.0341,                 1.2947,                 1.2912,                0.98674,                0.46974,                0.59526,                0.53058,                 0.3749,                0.46064,                0.58842,                0.52007,                0.30458,                0.95125,                 1.0945,                 1.4756,                0.99629,               0.009076,               0.009076,               0.009076
                     30,                 1.0222,                 1.2749,                 1.3074,                0.98716,                0.48086,                0.57214,                 0.5372,                0.38611,                0.47782,                0.56781,                0.53196,                0.30603,                0.96933,                 1.1764,                 1.4046,                 1.0037,               0.009043,               0.009043,               0.009043
                     31,                  1.029,                 1.3087,                 1.2874,                0.98608,                 0.4445,                0.58707,                0.51685,                0.37435,                0.44249,                0.58105,                0.51503,                0.30524,                  0.941,                 1.1356,                 1.5663,                0.97673,                0.00901,                0.00901,                0.00901
                     32,                 1.0105,                  1.258,                 1.2564,                0.97263,                0.50052,                0.56896,                0.55001,                0.39518,                0.49797,                0.57143,                0.54612,                0.31739,                0.93873,                  1.123,                 1.3865,                0.98247,               0.008977,               0.008977,               0.008977
                     33,                 1.0011,                 1.2342,                  1.247,                0.97215,                0.50125,                0.56793,                0.55882,                0.40199,                0.50232,                0.56517,                0.55417,                0.32202,                0.94743,                 1.1306,                  1.339,                  0.992,               0.008944,               0.008944,               0.008944
                     34,                 1.0166,                 1.2643,                  1.277,                0.98433,                0.44522,                0.54286,                0.50189,                0.35913,                0.43565,                0.53324,                0.49536,                0.28311,                0.96545,                 1.1286,                 1.6021,                0.99864,               0.008911,               0.008911,               0.008911
                     35,                 1.0005,                 1.2497,                 1.2443,                 0.9746,                 0.4458,                0.59804,                0.52711,                0.38163,                 0.4423,                0.59278,                0.52387,                0.30406,                0.93248,                 1.0576,                 1.3979,                0.98274,               0.008878,               0.008878,               0.008878
                     36,                 1.0076,                  1.255,                 1.2333,                0.97367,                0.52993,                0.55309,                0.54633,                0.39728,                0.53358,                0.55089,                0.54288,                0.30508,                0.96873,                 1.2714,                 1.5988,                 1.0085,               0.008845,               0.008845,               0.008845
