epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,242.901,1.11746,1.38395,1.37329,1.01708,0.52152,0.527,0.51886,0.33711,0.50823,0.50994,0.50137,0.26117,1.07612,1.30616,1.4605,1.0588,0.00901,0.00901,0.00901
32,249.985,1.13054,1.41743,1.37552,1.02705,0.47967,0.54857,0.51666,0.34462,0.47411,0.53941,0.513,0.28934,1.04049,1.24757,1.4509,1.01868,0.008977,0.008977,0.008977
33,257.088,1.13098,1.42066,1.36624,1.02143,0.4358,0.5365,0.4704,0.31199,0.41957,0.53538,0.46759,0.25378,1.05475,1.2942,1.89127,1.03976,0.008944,0.008944,0.008944
34,263.72,1.1147,1.40912,1.37536,1.02132,0.45961,0.56425,0.52205,0.35363,0.45694,0.55883,0.5165,0.29335,1.02082,1.23385,1.46799,1.01136,0.008911,0.008911,0.008911
35,270.446,1.10512,1.36317,1.3326,1.00567,0.53592,0.48285,0.4972,0.33207,0.51217,0.47459,0.46504,0.24081,1.05818,1.35289,1.43042,1.03264,0.008878,0.008878,0.008878
36,277.246,1.11456,1.38891,1.35181,1.01491,0.43163,0.5185,0.44819,0.29385,0.42897,0.50645,0.43339,0.22201,1.10197,1.40952,2.05291,1.04351,0.008845,0.008845,0.008845
37,284.026,1.10403,1.38996,1.32099,1.00924,0.43732,0.49559,0.45708,0.29677,0.43782,0.49303,0.4462,0.23835,1.06605,1.42591,1.83705,1.04481,0.008812,0.008812,0.008812
38,290.761,1.10241,1.39156,1.33459,1.01434,0.41806,0.58768,0.51832,0.34755,0.39755,0.58915,0.49967,0.2731,1.0012,1.29925,1.67688,1.01885,0.008779,0.008779,0.008779
39,297.286,1.08501,1.37425,1.32438,1.00434,0.44719,0.57652,0.52284,0.35957,0.44284,0.5722,0.51209,0.28631,1.01959,1.20659,1.44092,1.01139,0.008746,0.008746,0.008746
40,303.824,1.08773,1.3682,1.304,1.00165,0.5384,0.57111,0.55328,0.37168,0.52688,0.55462,0.53223,0.28265,1.01181,1.22293,1.37924,1.0084,0.008713,0.008713,0.008713
41,310.652,1.08606,1.3801,1.29729,1.00146,0.49316,0.5511,0.52616,0.36639,0.49136,0.55043,0.51869,0.29412,0.96638,1.21673,1.53719,0.9953,0.00868,0.00868,0.00868
42,317.386,1.09349,1.40192,1.31437,1.00609,0.51148,0.5422,0.53758,0.36536,0.50689,0.54002,0.53123,0.29594,1.03841,1.21486,1.40156,1.02163,0.008647,0.008647,0.008647
43,324.274,1.09936,1.37209,1.31762,1.00631,0.52593,0.5396,0.52726,0.36739,0.53794,0.52414,0.52157,0.29321,1.02264,1.198,1.43549,1.01198,0.008614,0.008614,0.008614
44,330.944,1.09143,1.35171,1.31702,0.99542,0.51386,0.58758,0.54788,0.37835,0.51637,0.57981,0.53739,0.31679,0.98323,1.14657,1.36027,0.9941,0.008581,0.008581,0.008581
45,337.675,1.08064,1.34881,1.28914,1.0015,0.54671,0.56595,0.54865,0.38686,0.54262,0.56132,0.53932,0.30694,0.98087,1.18285,1.34488,0.99921,0.008548,0.008548,0.008548
46,344.227,1.04729,1.30804,1.25055,0.9899,0.55497,0.53953,0.56531,0.39676,0.53551,0.54597,0.55591,0.33511,0.98314,1.14226,1.35578,0.99588,0.008515,0.008515,0.008515
47,351.205,1.07281,1.34444,1.25081,0.9982,0.50847,0.57387,0.55034,0.38364,0.50535,0.56888,0.54572,0.31906,0.98214,1.16321,1.43064,0.9976,0.008482,0.008482,0.008482
48,357.834,1.08201,1.34304,1.26453,0.99563,0.5033,0.5524,0.53034,0.37156,0.53315,0.51961,0.52052,0.29826,0.9739,1.20522,1.42744,1.00759,0.008449,0.008449,0.008449
49,364.483,1.07926,1.37088,1.26953,1.00183,0.55751,0.51245,0.52954,0.34078,0.5524,0.50802,0.51624,0.28182,1.08364,1.24004,1.41194,1.03721,0.008416,0.008416,0.008416
50,371.097,1.06898,1.32574,1.25254,0.99224,0.55311,0.58703,0.58544,0.40571,0.56952,0.55927,0.56759,0.30811,1.01453,1.29187,1.31897,1.01053,0.008383,0.008383,0.008383
51,377.715,1.05449,1.33371,1.23718,0.98757,0.54809,0.58744,0.5756,0.40019,0.54081,0.57699,0.56045,0.29712,1.00295,1.23867,1.29236,1.00765,0.00835,0.00835,0.00835
52,384.418,1.05389,1.31719,1.23217,0.98272,0.55099,0.6314,0.60273,0.42586,0.56699,0.61983,0.59778,0.33417,0.9835,1.18056,1.31886,0.99642,0.008317,0.008317,0.008317
53,391.183,1.04989,1.31465,1.21634,0.98748,0.54887,0.57992,0.55847,0.39835,0.54801,0.57863,0.55284,0.31003,0.9933,1.15497,1.33799,0.99244,0.008284,0.008284,0.008284
54,397.916,1.07235,1.35703,1.22129,0.99009,0.53914,0.5905,0.57014,0.38384,0.53054,0.6127,0.5684,0.31017,1.02494,1.21297,1.45221,1.00893,0.008251,0.008251,0.008251
55,404.479,1.04106,1.28628,1.20322,0.97994,0.57898,0.62245,0.59246,0.42434,0.57022,0.62272,0.59054,0.33841,0.95823,1.17814,1.31729,0.98998,0.008218,0.008218,0.008218
56,411.176,1.02494,1.29613,1.1722,0.97665,0.56647,0.64579,0.59688,0.43501,0.56469,0.63794,0.59176,0.34982,0.93035,1.11615,1.24442,0.96892,0.008185,0.008185,0.008185
57,418.027,1.03694,1.31657,1.19397,0.97865,0.55142,0.65369,0.62085,0.44729,0.5446,0.64555,0.6102,0.35403,0.97358,1.15584,1.22871,0.99469,0.008152,0.008152,0.008152
58,425.234,1.05558,1.35951,1.21888,0.9901,0.45421,0.56996,0.52225,0.35911,0.45458,0.5592,0.51498,0.28362,1.00304,1.29951,1.51269,1.00273,0.008119,0.008119,0.008119
59,432.42,1.05324,1.32566,1.19701,0.9845,0.55213,0.5888,0.55026,0.39081,0.52718,0.60255,0.54359,0.31275,1.0164,1.15397,1.54466,1.01672,0.008086,0.008086,0.008086
60,439.016,1.04204,1.30282,1.17916,0.98113,0.5924,0.62434,0.61091,0.44387,0.5916,0.62312,0.60931,0.35871,0.94988,1.11009,1.24039,0.99113,0.008053,0.008053,0.008053
61,445.702,1.02673,1.28831,1.15098,0.97178,0.61361,0.604,0.63106,0.46151,0.60074,0.60578,0.62504,0.36596,0.94456,1.11187,1.21198,0.97841,0.00802,0.00802,0.00802
62,452.544,1.0355,1.2963,1.16287,0.98104,0.61297,0.63577,0.62955,0.45161,0.61819,0.61558,0.6235,0.35263,0.94836,1.09456,1.19745,0.97768,0.007987,0.007987,0.007987
63,459.403,1.01886,1.30015,1.16207,0.97528,0.53827,0.65956,0.61032,0.44651,0.54156,0.6493,0.60571,0.35066,0.91683,1.12392,1.27814,0.9725,0.007954,0.007954,0.007954
64,466.515,1.02791,1.2923,1.15508,0.97712,0.59416,0.60857,0.61924,0.45559,0.58862,0.60081,0.61067,0.34946,0.92024,1.13731,1.19528,0.97197,0.007921,0.007921,0.007921
65,473.358,1.03168,1.30109,1.15309,0.98394,0.60663,0.65301,0.64575,0.48044,0.60087,0.64818,0.6407,0.38726,0.89948,1.08456,1.13665,0.97192,0.007888,0.007888,0.007888
66,480.627,1.01955,1.27822,1.12856,0.97451,0.54313,0.64486,0.61647,0.45237,0.57664,0.58654,0.60314,0.36398,0.91283,1.09253,1.22476,0.97075,0.007855,0.007855,0.007855
67,488.056,1.01414,1.27343,1.13064,0.96933,0.6403,0.567,0.62719,0.45999,0.63813,0.56617,0.62469,0.38463,0.91645,1.08049,1.22068,0.96115,0.007822,0.007822,0.007822
68,494.674,1.01599,1.27769,1.1193,0.97439,0.54974,0.64669,0.62778,0.44828,0.54143,0.6379,0.61485,0.35885,0.94122,1.10055,1.18666,0.97877,0.007789,0.007789,0.007789
69,501.547,1.02519,1.32069,1.15219,0.97457,0.60008,0.65167,0.66711,0.47754,0.59301,0.65953,0.66044,0.38625,0.93689,1.10408,1.19601,0.97862,0.007756,0.007756,0.007756
70,509.353,1.01176,1.27858,1.11835,0.97057,0.60002,0.65588,0.63912,0.47175,0.60285,0.64052,0.63542,0.37793,0.93683,1.10802,1.16847,0.97503,0.007723,0.007723,0.007723
71,515.968,0.97166,1.21511,1.08194,0.9587,0.53336,0.59277,0.56495,0.41612,0.52886,0.58946,0.55939,0.3211,0.92999,1.13793,1.589,0.97866,0.00769,0.00769,0.00769
72,522.617,1.0186,1.27444,1.09754,0.96666,0.5493,0.60757,0.58739,0.44132,0.55215,0.60566,0.5825,0.3331,0.91306,1.12406,1.35848,0.97403,0.007657,0.007657,0.007657
73,529.668,1.01008,1.28413,1.09187,0.96996,0.58716,0.61026,0.62869,0.46759,0.58459,0.60828,0.6243,0.35597,0.92374,1.1012,1.2892,0.96577,0.007624,0.007624,0.007624
74,536.53,1.00191,1.25549,1.10406,0.96804,0.62647,0.6596,0.66435,0.4861,0.62343,0.65317,0.6554,0.37786,0.90039,1.0685,1.12625,0.96048,0.007591,0.007591,0.007591
75,543.376,0.98723,1.25517,1.07345,0.96416,0.68164,0.67081,0.69519,0.5152,0.67725,0.66255,0.68865,0.39652,0.92181,1.08364,1.06111,0.96553,0.007558,0.007558,0.007558
76,550.932,0.97905,1.22419,1.04485,0.95991,0.60497,0.63911,0.64327,0.46755,0.60522,0.63301,0.63725,0.36883,0.94366,1.08417,1.15715,0.97001,0.007525,0.007525,0.007525
77,557.797,1.00118,1.26463,1.07669,0.96495,0.67012,0.64577,0.68412,0.51411,0.67277,0.64145,0.68006,0.4096,0.88261,1.03012,1.10933,0.95407,0.007492,0.007492,0.007492
78,564.759,0.98007,1.26217,1.05441,0.96421,0.65833,0.65774,0.68505,0.5045,0.65983,0.65566,0.68139,0.42158,0.90596,1.04321,1.10625,0.96028,0.007459,0.007459,0.007459
79,571.494,1.0019,1.27019,1.08619,0.9653,0.57891,0.62732,0.62855,0.45193,0.57576,0.61286,0.61347,0.33754,0.92078,1.10881,1.22548,0.96929,0.007426,0.007426,0.007426
80,578.14,1.00929,1.26466,1.07838,0.96749,0.63594,0.65077,0.67486,0.48514,0.62406,0.64389,0.66657,0.37823,0.92585,1.07173,1.13584,0.96218,0.007393,0.007393,0.007393
81,584.806,0.99778,1.25729,1.05264,0.9676,0.66386,0.64629,0.68566,0.50903,0.6568,0.64155,0.67905,0.39389,0.90104,1.09163,1.10149,0.96206,0.00736,0.00736,0.00736
82,591.371,0.98133,1.22332,1.03154,0.96037,0.7029,0.6322,0.7004,0.53571,0.7014,0.63061,0.69597,0.42218,0.86838,1.01926,1.04142,0.95147,0.007327,0.007327,0.007327
83,598.23,0.99158,1.24788,1.04117,0.96267,0.63163,0.64709,0.6638,0.50253,0.62679,0.64299,0.65509,0.38038,0.88077,1.06785,1.16324,0.9544,0.007294,0.007294,0.007294
84,604.894,1.00007,1.26451,1.04003,0.96602,0.58353,0.61877,0.63105,0.47519,0.58676,0.60631,0.62424,0.36175,0.89257,1.04464,1.30817,0.95752,0.007261,0.007261,0.007261
85,611.491,0.9856,1.25658,1.06059,0.96158,0.627,0.61479,0.64105,0.47494,0.63399,0.60697,0.63526,0.37961,0.88333,1.05344,1.31404,0.95167,0.007228,0.007228,0.007228
86,618.117,0.98388,1.22462,1.01228,0.95959,0.62336,0.71054,0.71079,0.53452,0.62056,0.70652,0.70334,0.41279,0.89371,1.05785,1.03732,0.94938,0.007195,0.007195,0.007195
87,625.512,1.00043,1.25639,1.04906,0.96634,0.65579,0.65804,0.67853,0.50504,0.65444,0.65554,0.67246,0.39539,0.89134,1.08191,1.13943,0.95293,0.007162,0.007162,0.007162
88,632.235,0.99258,1.24522,1.02893,0.96055,0.6543,0.68963,0.71137,0.51317,0.65457,0.68809,0.70832,0.39528,0.89433,1.07772,1.0557,0.95624,0.007129,0.007129,0.007129
89,638.798,0.968,1.20639,0.99639,0.94617,0.67474,0.67736,0.71681,0.54301,0.67376,0.67552,0.71104,0.43288,0.86533,0.99628,1.02418,0.94839,0.007096,0.007096,0.007096
90,645.691,0.96389,1.2185,0.9973,0.95299,0.64214,0.67871,0.69167,0.52338,0.63896,0.67181,0.6826,0.42092,0.86679,1.00798,1.0831,0.94338,0.007063,0.007063,0.007063
91,652.669,0.9816,1.24767,1.00281,0.95525,0.70356,0.66961,0.71342,0.54619,0.69817,0.6658,0.70535,0.43408,0.88007,1.01568,1.01098,0.95638,0.00703,0.00703,0.00703
92,659.444,0.96984,1.2317,0.99791,0.95323,0.66101,0.66452,0.71445,0.53652,0.66357,0.6673,0.71251,0.43179,0.88743,1.01124,1.05159,0.95423,0.006997,0.006997,0.006997
93,666.389,0.97283,1.25148,1.02816,0.96056,0.70379,0.68225,0.729,0.55229,0.69606,0.67246,0.72027,0.42736,0.87056,1.02681,0.98986,0.94661,0.006964,0.006964,0.006964
